id,mvir,f_sub
3058442322,1074999984128.0,0.04551720646181312
3058442762,1109000060928.0,0.41551570919698727
3058442985,1414000017408.0,0.010021216555552095
3058443011,1447000014848.0,0.0827021398341663
3058443049,1259999985664.0,0.15373016352688543
3058453249,1150000037888.0,0.03602608543569015
3058453991,1526999941120.0,0.005355599336828873
3058455262,1581999980544.0,0.11441403027183272
3058455403,1310000021504.0,0.006138931099227806
3058455541,1107000033280.0,0.18394760257834128
3058455557,1206999973888.0,0.06390803311745366
3058455582,1064999976960.0,0.0
3058455590,1353000026112.0,0.009467849325037338
3058455613,1114000064512.0,0.04906642237937788
3058455660,1269999992832.0,0.00772677184833504
3058465987,1460999946240.0,0.0
3058466163,1254999982080.0,0.006950597963788618
3058466172,1503999950848.0,0.05365159392359252
3058466191,1062000001024.0,0.03285310574610021
3058466211,1100999950336.0,0.15930699635224585
3058478323,1488999940096.0,0.05510678297187154
3058478357,1307000045568.0,0.01595485804511785
3058478378,1467000029184.0,0.06800545387275313
3058478391,1348000022528.0,0.06601631870681333
3058478400,1422999945216.0,0.08198243621315937
3058478443,1239999971328.0,0.020664517019752447
3058478461,1178999980032.0,0.10485750450024992
3058478479,1272000020480.0,0.06664622101500424
3058478542,1030000017408.0,0.014951455560898119
3058478559,1120000016384.0,0.04965178441652247
3058478568,1017999982592.0,0.0
3058489651,1088999981056.0,0.040802573639085356
3058490112,1543000031232.0,0.019338950369414066
3058490127,1518000013312.0,0.0
3058490149,1371999961088.0,0.08245700226863474
3058490164,1434000031744.0,0.07803347125446687
3058490259,1404999958528.0,0.09496797551780205
3058490330,1031000031232.0,0.11184286972155529
3058490367,1254999982080.0,0.009123506412345207
3058490373,1325999980544.0,0.0830316729166397
3058490387,1227999936512.0,0.0
3058490444,1181999955968.0,0.06192047488873295
3058490485,1127999995904.0,0.015585105758720384
3058503297,1394999951360.0,0.029698925491437805
3058504409,1404999958528.0,0.012320997214929819
3058505045,1171999948800.0,0.17656998428701637
3058505182,1295999959040.0,0.4447530996860239
3058505208,1122000044032.0,0.1840356529844404
3058505285,1209999949824.0,0.055198348232753984
3058505314,1269000044544.0,0.0
3058505343,1049000017920.0,0.2938703536757324
3058505397,1261000065024.0,0.20482949622931548
3058517111,1247999950848.0,0.005788461766437878
3058517712,1346999943168.0,0.018417967339814344
3058517905,1216999981056.0,0.0526343479943345
3058518475,1059000025088.0,0.05340887600007377
3058518485,1546999955456.0,0.042818359345378795
3058518501,1373999988736.0,0.04592867493838471
3058518518,1432000004096.0,0.10452513722057614
3058518557,1054000021504.0,0.01616698259235788
3058518582,1208000053248.0,0.01534768080692607
3058518602,1256000061440.0,0.07064091700304304
3058518610,1094999998464.0,0.04269680505715278
3058518630,1173000028160.0,0.08912276322787978
3058518636,1186999959552.0,0.007234203960075048
3058518675,1021000024064.0,0.30962780944673496
3058532235,1181999955968.0,0.06953469140249706
3058532968,1523999965184.0,0.005455380618067278
3058532980,1356999950336.0,0.05594694307630728
3058532999,1221999984640.0,0.027776595308222997
3058533022,1093999984640.0,0.0
3058533029,1094999998464.0,0.0
3058542994,1054000021504.0,0.0
3058544389,1188000038912.0,0.02868686774725303
3058544411,1368999985152.0,0.399557342372993
3058544440,1130000023552.0,0.1372424725235976
3058544495,1398000058368.0,0.06366237326191317
3058544519,1254999982080.0,0.012924303177373317
3058544570,1371999961088.0,0.0478790111305161
3058544601,1135999975424.0,0.07331074321979297
3058544685,1036999983104.0,0.056248796874040184
3058557076,1406000037888.0,0.031699857899684054
3058557098,1277999972352.0,0.2296870189283151
3058557113,1021999972352.0,0.1385714350755607
3058566924,1065999990784.0,0.11724202223686911
3058568898,1490999967744.0,0.04790074034143949
3058569504,1285999951872.0,0.1315264507077022
3058569571,1229000015872.0,0.0
3058569606,1221000036352.0,0.0
3058569624,1439999983616.0,0.09607847362649286
3058569642,1153999962112.0,0.1457426415960981
3058569695,1467999977472.0,0.0514325631871068
3058569726,1365000060928.0,0.017374358011293126
3058569786,1244999974912.0,0.027693171706639593
3058569829,1189999935488.0,0.007673950210976366
3058569872,1112000036864.0,0.006618704816554016
3058584216,1561000017920.0,0.06356181648492777
3058584253,1424000024576.0,0.0
3058584274,1475999956992.0,0.028353658929155937
3058584296,1376999964672.0,0.05423747243870837
3058584340,1257999958016.0,0.022424483953473396
3058584379,1381999968256.0,0.0217945008537226
3058584428,1170000052224.0,0.0
3058594899,1198999994368.0,0.21065972014214807
3058594914,1447999963136.0,0.004988950403254605
3058594930,1270999941120.0,0.018442171567171567
3058595019,1378000044032.0,0.0
3058595042,1170000052224.0,0.01642735035051116
3058595098,1142000058368.0,0.015035025389173062
3058595138,1175000055808.0,0.020527659035227578
3058595145,1075999997952.0,0.09677323057824495
3058595157,1045999976448.0,0.10137858675685323
3058595178,1024000000000.0,0.42001952
3058607803,1307000045568.0,0.14307038556126142
3058608085,1024000000000.0,0.085050784
3058608509,1137000054784.0,0.110883902203462
3058609930,1183999983616.0,0.07390203259021191
3058609941,1011000016896.0,0.06525123980367463
3058610121,1578000056320.0,0.0
3058610158,1459999997952.0,0.04592808335209638
3058610251,1355000053760.0,0.06135792642169585
3058610284,1358999977984.0,0.005415746960436413
3058610302,1173999976448.0,0.03878194056677365
3058610306,1303999938560.0,0.010766872065580229
3058610319,1196000018432.0,0.0661036717036598
3058610335,1209000001536.0,0.005749379698237347
3058610570,1049000017920.0,0.03143946635329339
3058610600,1054999969792.0,0.05955450225499754
3058610607,1037999996928.0,0.22976879050659896
3058617946,1036999983104.0,0.013404050609908234
3058618394,1031000031232.0,0.008592628069481125
3058619283,1289000058880.0,0.1360674868241632
3058619359,1427999948800.0,0.020329132829728012
3058619376,1521999937536.0,0.0
3058619426,1284000055296.0,0.015708722363995706
3058619456,1475999956992.0,0.48136992622138064
3058619462,1564999942144.0,0.13923322625909107
3058619528,1353000026112.0,0.03777900873726129
3058619542,1151999934464.0,0.00875868138716054
3058619592,1125999968256.0,0.0
3058619596,1016999968768.0,0.0
3058619613,1097999974400.0,0.009189435900955882
3058632846,1533000024064.0,0.014579256214719359
3058633159,1305999966208.0,0.19869832002022483
3058634346,1513999958016.0,0.05446499507441106
3058634425,1138999951360.0,0.16697103412245048
3058634449,1396000030720.0,0.08123209320383244
3058634504,1475000008704.0,0.0873288133043322
3058634522,1498999947264.0,0.3519486402350657
3058634572,1048000004096.0,0.00962786292420255
3058634594,1282999975936.0,0.04110677995728258
3058634602,1176999952384.0,0.0
3058634605,1034000007168.0,0.05008704039552814
3058634636,1114000064512.0,0.1869838304930872
3058634695,1096000012288.0,0.035442519427447375
3058634698,1031999979520.0,0.07316860374660175
3058648954,1081000001536.0,0.0
3058648972,1063000014848.0,0.006795860676477009
3058649036,1531999944704.0,0.11138382605684076
3058649279,1350999998464.0,0.04731087988798632
