id,mvir,f_sub
3058440766,152400003072.0,0.0
3058441579,158200004608.0,0.2773893712376092
3058443198,162700001280.0,0.12065150567649707
3058443233,153700007936.0,0.0
3058443921,143500001280.0,0.0
3058443943,150199992320.0,0.0
3058443960,153700007936.0,0.0
3058443979,154599997440.0,0.0
3058444007,153499992064.0,0.0
3058444031,144899997696.0,0.25206349077125106
3058444047,146899992576.0,0.0
3058444056,143100002304.0,0.0
3058444067,148999995392.0,0.0
3058452549,160700006400.0,0.0
3058453218,158499995648.0,0.5709779191223716
3058454577,160399998976.0,0.0
3058454761,148399996928.0,0.06336927527405939
3058456206,162700001280.0,0.08795328520848061
3058456257,149500002304.0,0.0
3058456347,161799995392.0,0.0
3058456355,148799995904.0,0.0
3058456400,154700005376.0,0.0
3058456422,151200006144.0,0.0
3058456431,146899992576.0,0.0
3058456432,159200002048.0,0.0
3058464490,153499992064.0,0.0
3058464958,145600004096.0,0.0
3058467241,144899997696.0,0.08274672054277739
3058467271,150199992320.0,0.0
3058467273,151400005632.0,0.0
3058467304,164200005632.0,0.0
3058467305,161100005376.0,0.0
3058467338,165899993088.0,0.1675768724670967
3058467364,149199994880.0,0.10777480262605221
3058477962,149199994880.0,0.0
3058478017,154700005376.0,0.0
3058478827,155900002304.0,0.0
3058479017,163299999744.0,0.0
3058479602,152899993600.0,0.0
3058479617,144899997696.0,0.0
3058479620,142399995904.0,0.0
3058479634,152200003584.0,0.11819973860954097
3058479658,142700003328.0,0.08787666407530807
3058479674,150499999744.0,0.0
3058489231,144200007680.0,0.0
3058490403,142799994880.0,0.0
3058491102,160599998464.0,0.0
3058491358,164000006144.0,0.0
3058491623,151400005632.0,0.0
3058505479,149599993856.0,0.0
3058506639,157200007168.0,0.0
3058506722,161100005376.0,0.0
3058506753,148100005888.0,0.0
3058506766,165699993600.0,0.0
3058506777,152800002048.0,0.0
3058506784,142799994880.0,0.17661064879724456
3058506886,142199996416.0,0.0
3058518092,141599997952.0,0.0
3058519789,150899998720.0,0.0
3058519844,165299994624.0,0.46914703386651213
3058519866,160399998976.0,0.0
3058519944,161900003328.0,0.0
3058519947,151600005120.0,0.0
3058519980,145600004096.0,0.0
3058531843,162900000768.0,0.2953345479016763
3058532309,147300007936.0,0.0
3058533926,161100005376.0,0.0
3058533965,149399994368.0,0.058386885199698375
3058533981,154100006912.0,0.0
3058534511,141500006400.0,0.0
